sim-id,trigtime,ra,dec,H1-snr,L1-snr,V1-snr,snr,npix,logZ-tensor-N-0,logZ-err-tensor-N-0,logZ-tensor-vector-R-2,logZ-err-tensor-vector-R-2
28,966407642.614747,2.6476430890000002,0.6721826790000001,23.903650334,16.645074596,16.381560374,33.41853569328779,89,-8.95015593481105,0.04875633346225454,-6.961484906236288,0.018218628351225664
29,966408367.7889053,1.402341008,-1.013277054,7.866019129,5.350360076,13.887246687000001,16.833188361871354,62,-6.102190197399677,0.01597873128113318,-5.459497846756896,0.014083998975419666
30,966409213.346088,3.402846098,0.39415350600000004,19.054047618,23.08158143,20.452104995,36.25058248725441,95,-11.806416630275615,0.16817011000893228,-8.597529792332203,0.0588726541057762
31,966410092.97924,0.29302999399999996,-1.17513597,25.467942050999998,10.93837091,14.511864694000002,31.28671039554641,93,-7.887591713638528,0.022080253852182312,-8.230741929291069,0.030043743067750008
32,966410931.1897149,2.840524912,0.426784396,30.797445266,25.656363495,11.034373465,41.57510096758552,96,-7.572399806246403,0.024963398486267455,-8.06493202794678,0.028900164725656784
33,966411642.324408,1.7731980090000001,0.784594715,27.324153366999997,18.134656919,20.068931999,38.44785000976853,90,-8.284499767066302,0.03785366106994976,-7.612680113771014,0.01993356799771078
34,966412520.1734225,2.3241679669999997,0.913681209,28.82902028,18.308100118,13.432614274,36.697875503487005,100,-7.553595773357932,0.03387859233389958,-7.002475120029647,0.0233198345307549
35,966413373.8141752,4.67776823,-0.090007491,10.2895643,4.162061692,8.055130265,13.714336097601203,38,-4.83140796930894,0.011129309886939023,-4.641179611446229,0.010530723677185634
36,966414245.4995545,1.940791011,0.266078502,3.7371506930000002,5.982744365,23.671566529,24.70025480386797,79,-5.944844918680124,0.013909089643471675,-5.37198337590666,0.013669452294647116
37,966415025.0180658,4.30198288,-0.26366201,26.992628855,15.349632827,25.291417858000003,40.04833401897582,95,-10.112879228383312,0.03911588790216851,-7.2626802045081655,0.030130129027484742
38,966415841.154488,4.205428123,-0.10116810400000001,28.960515799,22.778836209,10.08241523,38.20002553992228,99,-11.850177764526924,0.05792572228810423,-8.099073662299002,0.014185905975809354
39,966416701.6392397,0.101082399,0.496083885,13.399158735999999,10.588761989,7.73506945,18.748083493747824,62,-6.0029762118147865,0.020580014525147235,-5.7369358743440255,0.017104784552077
40,966417510.4066653,3.747205019,0.40731701299999995,18.545572368,9.823375514,24.256183484,32.074902932904635,101,-9.26654046884523,0.025779160300036182,-8.030064021114319,0.021259136057669124
41,966418394.4530078,0.021818221000000002,-1.045495987,28.555774422,15.655173392,25.201025276,41.1777656233959,93,-12.359149291879408,0.0815857259030612,-10.48981733649784,0.0752885221763385
42,966419244.982511,3.54538703,0.558755279,12.736926475,11.502252795,15.478585068,23.11098680491497,83,-8.16424538385067,0.024797560538684697,-7.361619050862359,0.022240055112948912
43,966420201.458412,3.7537620069999997,0.37133160200000004,6.639607917,5.419056822000001,24.456766643,25.91493786914627,91,-6.50678347048057,0.018177558913056373,-6.005902444920446,0.013224637428451948
44,966420913.3284323,5.408080101,0.086412877,21.858412979,18.715496408,25.554628480999998,38.485049831854354,87,-7.567086449075189,0.03249517246938033,-7.291960360012592,0.032917948667172826
45,966421764.9511981,1.12560904,-0.279754907,10.745538289,1.995377325,23.755284745,26.14883701248526,84,-6.185533550269405,0.01744125367857936,-6.31468748472465,0.018552504641205798
46,966422694.7459024,1.6556210519999999,-0.633811891,13.080136265999998,11.218818665999999,14.786948983,22.70695305899854,80,-9.228265115706188,0.038787454322281804,-8.189565859063862,0.021237730643064633
47,966423384.1048456,5.50714016,0.974905729,27.763828897,15.42808948,2.535796176,31.86355915887293,96,-6.929273853603577,0.02078788434015662,-7.108912056132011,0.01334006680566132
48,966424376.8928205,1.9904179569999998,0.49544298600000003,18.079421707999998,12.837176815,16.123535641,27.4158165926509,93,-6.826321671189425,0.02976012871493611,-6.56338130098017,0.015643509472554665
49,966425050.1832511,0.648217976,0.086842343,19.494593472000002,17.898455501,14.475323107000001,30.165027150855845,98,-8.284095130431318,0.039320765270047874,-8.228677529595087,0.04144299287621281
50,966425978.1803513,5.552133082999999,-1.20065999,18.877969747,16.355770348,12.25329724,27.821435237905234,79,-7.844546836878232,0.03440518693353579,-8.114433334771116,0.01995396887844845
51,966426780.6526382,0.45680019299999997,0.629652023,13.613285664000001,4.309320513,4.258794665,14.900641659071699,48,-5.085634473619299,0.012535957877054698,-5.564867453570016,0.01709050767713276
52,966427546.6668217,3.086776018,-0.170943394,25.202592656,13.329245382,2.18954561,28.59429259513345,84,-6.503400023517429,0.01689116520359714,-6.645014305144917,0.019614413592991254
53,966428422.8576909,5.364758015,-0.408536911,3.9146687780000002,7.067315056,9.154135921,12.209413507714235,53,-5.807684181279875,0.01791086086346988,-6.146864714245642,0.012753108737972068
54,966429320.0472957,4.422707081,1.238306999,8.177882078,3.3139783439999997,18.529326779,20.523064065317858,82,-6.2561228257381325,0.015894137701396364,-5.685811825565292,0.011917444408153293
55,966430110.974127,5.577914237999999,0.062570147,20.849274319000003,22.149843811999997,12.55644773,32.90854296563629,100,-9.340222575159638,0.07344083998955897,-7.060922336022333,0.03632841143022325
56,966431019.6399208,3.894028902,0.08627588300000001,31.2907117,19.491491161,3.246411244,37.007648565357776,100,-6.9665118888698,0.026636395500493164,-6.656872022577903,0.019958665795165628
57,966431803.0623486,1.2784600259999999,0.8646892909999999,13.352528695999998,9.109155325,10.034566532000001,19.02522690528588,49,-5.696798112350571,0.018731715247505328,-5.628051456901414,0.018170714214225794
58,966432638.7037562,5.7467060089999995,0.882754922,14.445609074000002,6.487109952999999,4.845965102,16.560241388063904,47,-5.16377701119442,0.011732043665776775,-6.708214187917944,0.008705068711828324
59,966433590.7686573,5.017643929,1.058632016,19.376058104000002,9.199969947,1.4765561459999998,21.50003006341102,84,-7.159658775989486,0.01951049486528196,-8.38898032984616,0.029000161908068242
60,966434391.8076493,2.200952053,0.330538899,23.163553643,13.724007213,18.321566873,32.56652275015596,89,-6.890260931399878,0.027396990249474455,-6.331303527797334,0.027420228983458785
61,966435192.5465316,4.91078186,-0.210392594,11.006490265,7.472260176,3.505623888,13.757430680744553,32,-4.506928610847263,0.011160386831151493,-4.952294692257864,0.013689123049807603
62,966435923.3286929,2.550282955,-0.38860610100000004,21.112519651,31.473990292,27.883936656,47.05172126873353,99,-11.1760666603175,0.05611472315226292,-10.189240125405012,0.08269583650020079
63,966436750.58512,5.524411201,-0.889311075,7.097375467999999,4.846829073,17.44168877,19.444202162757676,61,-4.892610143783805,0.01126305220565085,-4.419113752627973,0.009938840101030121
64,966437685.6885507,2.916286945,-0.27644360100000004,55.37449255600001,27.919232194,14.400261130999999,63.66463282528201,102,-19.22049611206039,0.08083795315482603,-7.831461422624263,0.02426038410990634
65,966438488.7023937,3.344053984,-1.047121048,22.510806477,15.607451784,11.95632538,29.887834917023717,96,-9.704948305617322,0.051489431117484434,-7.659584923434746,0.01449183182995987
66,966439349.1656429,3.798664093,-0.71726352,11.687857572,7.9157566489999995,12.613419095,18.930492841330256,66,-5.512491365333058,0.017561139839283674,-5.2535193229287716,0.011638078385873944
67,966440200.0348392,0.879197001,-0.587677896,12.250747273,7.113553959,19.66151498,24.233419692302732,81,-6.803348173482449,0.020337987541329674,-6.385795579824488,0.02219128871249013
68,966440975.5751549,5.82459116,-1.1225420240000001,10.485054277,3.61720088,12.270944645999998,16.540755360717505,52,-4.822043686486353,0.01572349955315186,-4.89810449410648,0.01116162184737864
69,966441923.8422563,2.3973290919999997,1.053797007,10.344197097,10.686432083,13.915150049000001,20.367465358564864,66,-6.709033049744284,0.0231008952451601,-6.381585840261236,0.014057179790729606
70,966442770.8774732,2.523857117,-0.38844299299999996,17.781511434000002,15.91845446,18.132999221,29.973071281090853,89,-9.507676833731301,0.08213930785371755,-7.6749341749228055,0.031304376094733424
71,966443508.0463868,3.6999430660000003,0.1888403,22.442347476,7.540267387,18.462606744000002,30.02303183032276,97,-6.869670262393753,0.014296105789623996,-6.391790538009307,0.01939212040169763
72,966444391.1877311,3.148665905,-0.018948911000000002,37.030652307,30.553083471,24.995111223000002,54.12500073827213,90,-33.34317419380016,0.1393594467445022,-8.370302126587747,0.04148998991451799
73,966445136.1558515,2.91022706,0.986872315,13.110356355999999,14.766546345999998,16.731382587,25.88187586019302,81,-8.614763749453841,0.04475669779434745,-8.641312099072804,0.029517065066425412
74,966446074.2363958,5.836676121,0.469634801,12.515499552,16.571367014,14.273925750999998,25.19906526230408,71,-8.536935881834758,0.04946122928586099,-7.080392146477593,0.02787340527372611
75,966446977.0969534,4.192680836,-0.48448750399999996,1.720441994,9.451406469,19.581014031,21.810665175074156,78,-7.262538671833608,0.016201502802728647,-6.964891464569897,0.02683234028991897
76,966447768.7731642,4.558440208,-1.159067035,25.954266526999998,16.131151827,8.696097669,31.77200221718904,93,-7.374263746300892,0.024809140651182615,-6.799148737676033,0.019119028445118737
77,966448645.5620782,0.469430894,-0.46871641299999994,41.38372003,13.093082762,29.738428756999998,52.61573191232038,100,-11.064792999251848,0.04048854302384808,-12.890568453054442,0.08336111944314147
78,966449438.7522944,4.689691067,-0.311218113,23.932688603000003,10.976984352999999,8.939003439,27.805998484798685,81,-6.741519919186514,0.03118063470772384,-6.390690200942205,0.019327325484210983
79,966450319.3602328,3.36696291,0.09627593300000001,29.336475915999998,21.12213124,23.047214606999997,42.8712881592208,99,-20.296487733139426,0.05952643051852585,-7.542880911062024,0.03502983997579054
80,966451034.2388333,5.059707165,1.4075319769999999,25.45872885,14.947303799,4.395033053,29.847698086358097,92,-6.651993115495014,0.019576961553589792,-6.386310582759772,0.02060999383823829
81,966451879.950648,3.473279953,0.650047183,9.918245249,4.285684277,15.424382014,18.832159702361352,60,-5.769107272952308,0.012806305872086738,-5.748687962844354,0.012705556431400327
82,966452710.8255734,1.34484899,-1.18552494,25.389403586,16.022426262,11.968724265999999,32.32012249867803,97,-7.91478837843779,0.027946692569604185,-7.734787920138314,0.019841213179915693
