sim-id,trigtime,ra,dec,H1-snr,L1-snr,V1-snr,snr,npix,logZ-tensor-N-0,logZ-err-tensor-N-0,logZ-tensor-scalar-R-1,logZ-err-tensor-scalar-R-1,searched-prob-tensor,area-50-tensor,area-90-tensor,ra-cdf-tensor,dec-cdf-tensor
39,966416701.6392397,0.101082399,0.496083885,11.161992820999998,11.895433159000001,5.5627070960000005,17.23470696043832,54,-5.858937832003582,0.017814831667216858,-5.794132435536379,0.017027137850765588,0.5128938114006003,1093.8586422881822,2912.2335498034813,0.04929830874415257,0.5627923713566031
40,966417510.4066653,3.747205019,0.40731701299999995,12.160003108,14.993228607,6.398269407000001,20.337168707882743,86,-7.8663520032541285,0.018531933875335527,-7.790971732577132,0.013720041690236856,0.07729975272277674,218.53164643528063,808.42640925817,0.3439908649728804,0.616328860976306
41,966418394.4530078,0.021818221000000002,-1.045495987,8.273957267,6.660969279,18.910839403,21.68978394355235,82,-7.411583848898228,0.023451545039881387,-6.87661296654346,0.0186950533779266,0.47414415301693896,454.88818643479743,2564.4669802436006,0.014512785072563926,0.10734853720340935
42,966419244.982511,3.54538703,0.558755279,11.442622304,11.640703889000001,11.959475655,20.235331728585912,63,-6.623086290531613,0.028256693073176884,-6.49887948721179,0.01893251140272957,0.025078884986215126,507.83253375490887,1673.769899418225,0.22919179734620024,0.6616405307599518
43,966420201.458412,3.7537620069999997,0.37133160200000004,5.864764789,12.154734758,10.225885814,16.932270484155218,70,-7.677362283046353,0.026018031971309388,-7.772749978318016,0.019370714292560803,0.2510398960927161,263.1697757978828,2048.4502041392975,0.46052009456264775,0.7267139479905438
44,966420913.3284323,5.408080101,0.086412877,14.312179335,10.240492674,17.172593804,24.588699548382543,82,-7.087203183369121,0.026843018013325864,-6.47855553753519,0.02177080123911549,0.8179218854965471,434.2201012731482,1200.1056320778382,0.49284525790349415,0.24292845257903495
45,966421764.9511981,1.12560904,-0.279754907,10.84565242,11.32752685,1.216458456,15.729615765431038,60,-6.666440719743633,0.018790953737210656,-6.156650213741835,0.024987334011686957,0.21907226940771818,611.2012339644745,1978.4523730243552,0.18762475049900199,0.3419827012641384
46,966422694.7459024,1.6556210519999999,-0.633811891,13.048465252,9.624970937999999,11.646266645999999,19.96341748748766,70,-8.217969164714196,0.04562958466718749,-10.452685568469919,0.07085714063658391,0.10643304536611987,87.41919330498338,235.9009575485298,0.2494294098467558,0.4603847407890447
47,966423384.1048456,5.50714016,0.974905729,14.873002157,9.760515325,8.353364979,19.65330911180278,71,-6.868034081629525,0.028741770976800286,-5.657231944555309,0.021260613726179923,0.4700150764269333,498.46201708407665,1533.0884247843328,0.736444298389747,0.9710811698981269
48,966424376.8928205,1.9904179569999998,0.49544298600000003,8.2843444,10.526336727999999,13.990667482000001,19.369380569366314,80,-6.015233163362302,0.0207531371651502,-6.012999882101142,0.017965067178925327,0.7688298483493332,1221.2581556069954,3997.4800368250194,0.7799152266058037,0.8875122269318553
